sensor,metric,start,end,label,confidence,notes
IPS7100SYN_node01,all,2025-03-22T07:12:00Z,2025-03-23T13:12:00Z,pollution_event,1,pollution_event
IPS7100SYN_node01,all,2025-03-30T00:00:00Z,2025-03-30T18:00:00Z,healthy,1,clean_air
IPS7100SYN_node01,all,2025-04-08T14:24:00Z,2025-04-09T00:24:00Z,pollution_event,1,pollution_event
IPS7100SYN_node01,all,2025-04-19T12:00:00Z,2025-04-20T00:00:00Z,healthy,1,clean_air
IPS7100SYN_node01,all,2025-04-28T04:48:00Z,2025-04-29T00:48:00Z,pollution_event,1,pollution_event
IPS7100SYN_node01,all,2025-05-02T00:00:00Z,2025-05-16T00:00:00Z,healthy,1,haze_trend
IPS7100SYN_node01,all,2025-05-20T09:36:00Z,2025-05-21T21:36:00Z,pollution_event,1,pollution_event
IPS7100SYN_node01,all,2025-05-24T12:00:00Z,2025-05-25T12:00:00Z,healthy,1,clean_air
IPS7100SYN_node02,all,2025-03-22T07:12:00Z,2025-03-23T13:12:00Z,pollution_event,1,pollution_event
IPS7100SYN_node02,all,2025-03-30T00:00:00Z,2025-03-30T18:00:00Z,healthy,1,clean_air
IPS7100SYN_node02,all,2025-04-08T14:24:00Z,2025-04-09T00:24:00Z,pollution_event,1,pollution_event
IPS7100SYN_node02,all,2025-04-19T12:00:00Z,2025-04-20T00:00:00Z,healthy,1,clean_air
IPS7100SYN_node02,all,2025-04-28T04:48:00Z,2025-04-29T00:48:00Z,pollution_event,1,pollution_event
IPS7100SYN_node02,all,2025-05-02T00:00:00Z,2025-05-16T00:00:00Z,healthy,1,haze_trend
IPS7100SYN_node02,all,2025-05-20T09:36:00Z,2025-05-21T21:36:00Z,pollution_event,1,pollution_event
IPS7100SYN_node02,all,2025-05-24T12:00:00Z,2025-05-25T12:00:00Z,healthy,1,clean_air
IPS7100SYN_node03,all,2025-03-22T07:12:00Z,2025-03-23T13:12:00Z,pollution_event,1,pollution_event
IPS7100SYN_node03,all,2025-03-30T00:00:00Z,2025-03-30T18:00:00Z,healthy,1,clean_air
IPS7100SYN_node03,all,2025-04-08T14:24:00Z,2025-04-09T00:24:00Z,pollution_event,1,pollution_event
IPS7100SYN_node03,all,2025-04-19T12:00:00Z,2025-04-20T00:00:00Z,healthy,1,clean_air
IPS7100SYN_node03,all,2025-04-28T04:48:00Z,2025-04-29T00:48:00Z,pollution_event,1,pollution_event
IPS7100SYN_node03,all,2025-05-02T00:00:00Z,2025-05-16T00:00:00Z,healthy,1,haze_trend
IPS7100SYN_node03,all,2025-05-20T09:36:00Z,2025-05-21T21:36:00Z,pollution_event,1,pollution_event
IPS7100SYN_node03,all,2025-05-24T12:00:00Z,2025-05-25T12:00:00Z,healthy,1,clean_air
IPS7100SYN_node04,all,2025-03-22T07:12:00Z,2025-03-23T13:12:00Z,pollution_event,1,pollution_event
IPS7100SYN_node04,all,2025-03-30T00:00:00Z,2025-03-30T18:00:00Z,healthy,1,clean_air
IPS7100SYN_node04,all,2025-04-08T14:24:00Z,2025-04-09T00:24:00Z,pollution_event,1,pollution_event
IPS7100SYN_node04,all,2025-04-19T12:00:00Z,2025-04-20T00:00:00Z,healthy,1,clean_air
IPS7100SYN_node04,all,2025-04-28T04:48:00Z,2025-04-29T00:48:00Z,pollution_event,1,pollution_event
IPS7100SYN_node04,all,2025-05-02T00:00:00Z,2025-05-16T00:00:00Z,healthy,1,haze_trend
IPS7100SYN_node04,all,2025-05-20T09:36:00Z,2025-05-21T21:36:00Z,pollution_event,1,pollution_event
IPS7100SYN_node04,all,2025-05-24T12:00:00Z,2025-05-25T12:00:00Z,healthy,1,clean_air
IPS7100SYN_node05,all,2025-03-22T07:12:00Z,2025-03-23T13:12:00Z,pollution_event,1,pollution_event
IPS7100SYN_node05,all,2025-03-30T00:00:00Z,2025-03-30T18:00:00Z,healthy,1,clean_air
IPS7100SYN_node05,all,2025-04-08T14:24:00Z,2025-04-09T00:24:00Z,pollution_event,1,pollution_event
IPS7100SYN_node05,all,2025-04-19T12:00:00Z,2025-04-20T00:00:00Z,healthy,1,clean_air
IPS7100SYN_node05,all,2025-04-28T04:48:00Z,2025-04-29T00:48:00Z,pollution_event,1,pollution_event
IPS7100SYN_node05,all,2025-05-02T00:00:00Z,2025-05-16T00:00:00Z,healthy,1,haze_trend
IPS7100SYN_node05,all,2025-05-20T09:36:00Z,2025-05-21T21:36:00Z,pollution_event,1,pollution_event
IPS7100SYN_node05,all,2025-05-24T12:00:00Z,2025-05-25T12:00:00Z,healthy,1,clean_air
IPS7100SYN_node06,all,2025-03-22T07:12:00Z,2025-03-23T13:12:00Z,pollution_event,1,pollution_event
IPS7100SYN_node06,all,2025-03-30T00:00:00Z,2025-03-30T18:00:00Z,healthy,1,clean_air
IPS7100SYN_node06,all,2025-04-08T14:24:00Z,2025-04-09T00:24:00Z,pollution_event,1,pollution_event
IPS7100SYN_node06,all,2025-04-19T12:00:00Z,2025-04-20T00:00:00Z,healthy,1,clean_air
IPS7100SYN_node06,all,2025-04-28T04:48:00Z,2025-04-29T00:48:00Z,pollution_event,1,pollution_event
IPS7100SYN_node06,all,2025-05-02T00:00:00Z,2025-05-16T00:00:00Z,healthy,1,haze_trend
IPS7100SYN_node06,all,2025-05-20T09:36:00Z,2025-05-21T21:36:00Z,pollution_event,1,pollution_event
IPS7100SYN_node06,all,2025-05-24T12:00:00Z,2025-05-25T12:00:00Z,healthy,1,clean_air
