sensor,metric,start,end,label,confidence,notes
IPS7100SYN_node02,pm0_1,2025-04-03T03:00:00Z,2025-04-03T13:00:00Z,offline,1,F4: all bins offline for 10 h
IPS7100SYN_node02,pm0_1,2025-04-12T01:00:00Z,2025-04-12T13:00:00Z,freeze,1,F5: whole sensor frozen for 12 h
IPS7100SYN_node02,pm0_1,2025-04-21T00:00:00Z,2025-04-21T07:20:00Z,clock,1,L1: conflicting duplicates and out-of-order rows (loader removes them)
IPS7100SYN_node02,pm0_3,2025-04-03T03:00:00Z,2025-04-03T13:00:00Z,offline,1,F4: all bins offline for 10 h
IPS7100SYN_node02,pm0_3,2025-04-12T01:00:00Z,2025-04-12T13:00:00Z,freeze,1,F5: whole sensor frozen for 12 h
IPS7100SYN_node02,pm0_3,2025-04-21T00:00:00Z,2025-04-21T07:20:00Z,clock,1,L1: conflicting duplicates and out-of-order rows (loader removes them)
IPS7100SYN_node02,pm0_5,2025-04-03T03:00:00Z,2025-04-03T13:00:00Z,offline,1,F4: all bins offline for 10 h
IPS7100SYN_node02,pm0_5,2025-04-12T01:00:00Z,2025-04-12T13:00:00Z,freeze,1,F5: whole sensor frozen for 12 h
IPS7100SYN_node02,pm0_5,2025-04-21T00:00:00Z,2025-04-21T07:20:00Z,clock,1,L1: conflicting duplicates and out-of-order rows (loader removes them)
IPS7100SYN_node02,pm10_0,2025-03-17T09:00:00Z,2025-03-17T09:15:00Z,invalid,1,F2: pm10_0 above 10000 ug/m3 for 3 readings
IPS7100SYN_node02,pm10_0,2025-04-03T03:00:00Z,2025-04-03T13:00:00Z,offline,1,F4: all bins offline for 10 h
IPS7100SYN_node02,pm10_0,2025-04-12T01:00:00Z,2025-04-12T13:00:00Z,freeze,1,F5: whole sensor frozen for 12 h
IPS7100SYN_node02,pm10_0,2025-04-21T00:00:00Z,2025-04-21T07:20:00Z,clock,1,L1: conflicting duplicates and out-of-order rows (loader removes them)
IPS7100SYN_node02,pm1_0,2025-03-11T12:00:00Z,2025-03-11T12:05:00Z,ordering,1,O: side effect of a neighboring-bin fault
IPS7100SYN_node02,pm1_0,2025-03-25T06:00:00Z,2025-03-25T14:00:00Z,freeze,1,F3: pm1_0 stuck for 8 h
IPS7100SYN_node02,pm1_0,2025-04-03T03:00:00Z,2025-04-03T13:00:00Z,offline,1,F4: all bins offline for 10 h
IPS7100SYN_node02,pm1_0,2025-04-12T01:00:00Z,2025-04-12T13:00:00Z,freeze,1,F5: whole sensor frozen for 12 h
